product_id,category,product_name,location_id,year,month,original_value,original_unit,original_currency,price_mad,price_usd,price_real_mad,confidence,precision,collection_method,source_id
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1991,,1470.0000,MAD/tonne,MAD,1.4700,0.1688,2.6020,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1991,,168.8000,USD/tonne,USD,1.4702,0.1688,2.6025,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1991,,61.2500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1992,,84.5800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1992,,2030.0000,MAD/tonne,MAD,2.0300,0.2377,3.3982,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1992,,237.8000,USD/tonne,USD,2.0308,0.2378,3.3996,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1993,,2010.0000,MAD/tonne,MAD,2.0100,0.2161,3.1989,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1993,,83.7500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1993,,216.2000,USD/tonne,USD,2.0107,0.2162,3.2000,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1994,,130.4000,USD/tonne,USD,1.1997,0.1304,1.8159,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1994,,1200.0000,MAD/tonne,MAD,1.2000,0.1304,1.8164,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1994,,50.0000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1995,,230.7000,USD/tonne,USD,1.9702,0.2307,2.8101,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1995,,82.0800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1995,,1970.0000,MAD/tonne,MAD,1.9700,0.2307,2.8099,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1996,,60.0000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1996,,1440.0000,MAD/tonne,MAD,1.4400,0.1651,1.9943,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1996,,165.2000,USD/tonne,USD,1.4405,0.1652,1.9951,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1997,,1680.0000,MAD/tonne,MAD,1.6800,0.1763,2.3028,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1997,,176.3000,USD/tonne,USD,1.6801,0.1763,2.3030,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1997,,70.0000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1998,,75.4200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1998,,188.5000,USD/tonne,USD,1.8096,0.1885,2.4140,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1998,,1810.0000,MAD/tonne,MAD,1.8100,0.1885,2.4146,official,exact,file_download,FAOSTAT
CEREAL-BARLEY,Cereals,Barley,MA-NATIONAL,1999,,194.8000,USD/tonne,USD,1.9090,0.1948,2.5293,official,exact,file_download,FAOSTAT
